CMDLINE /usr/bin/python3 thread_data.py
MEM 123.230469 1667751415.2616
MEM 125.292969 1667751415.3622
MEM 126.582031 1667751415.4628
MEM 127.613281 1667751415.5634
MEM 128.902344 1667751415.6640
MEM 130.191406 1667751415.7645
MEM 130.964844 1667751415.8653
MEM 131.996094 1667751415.9660
MEM 133.027344 1667751416.0667
MEM 133.800781 1667751416.1673
MEM 134.574219 1667751416.2680
MEM 135.863281 1667751416.3702
MEM 137.152344 1667751416.4709
MEM 138.441406 1667751416.5714
MEM 139.308594 1667751416.6721
MEM 141.109375 1667751416.7726
MEM 142.140625 1667751416.8732
MEM 143.945312 1667751416.9738
MEM 144.476562 1667751417.0745
MEM 145.246094 1667751417.1750
MEM 146.792969 1667751417.2757
MEM 148.039062 1667751417.3762
MEM 149.328125 1667751417.4769
MEM 150.617188 1667751417.5774
MEM 152.164062 1667751417.6780
MEM 153.195312 1667751417.7786
MEM 154.226562 1667751417.8794
MEM 155.515625 1667751417.9800
MEM 157.062500 1667751418.0806
MEM 158.609375 1667751418.1812
MEM 159.898438 1667751418.2818
MEM 161.460938 1667751418.3824
MEM 162.519531 1667751418.4830
MEM 163.542969 1667751418.5835
MEM 164.574219 1667751418.6842
MEM 165.089844 1667751418.7848
MEM 166.121094 1667751418.8854
MEM 167.925781 1667751418.9860
MEM 169.214844 1667751419.0866
MEM 170.246094 1667751419.1872
MEM 171.535156 1667751419.2878
MEM 173.082031 1667751419.3884
MEM 173.855469 1667751419.4891
MEM 174.628906 1667751419.5897
MEM 175.347656 1667751419.6904
MEM 176.632812 1667751419.7911
MEM 177.671875 1667751419.8918
MEM 177.929688 1667751419.9925
MEM 178.957031 1667751420.0931
MEM 180.503906 1667751420.1937
MEM 181.535156 1667751420.2943
MEM 182.824219 1667751420.3949
MEM 184.371094 1667751420.4955
MEM 185.402344 1667751420.5961
MEM 186.949219 1667751420.6966
MEM 187.871094 1667751420.7973
MEM 188.644531 1667751420.8980
MEM 189.417969 1667751420.9987
MEM 190.625000 1667751421.0995
MEM 191.910156 1667751421.2001
MEM 192.683594 1667751421.3006
MEM 194.062500 1667751421.4013
MEM 195.609375 1667751421.5059
MEM 196.898438 1667751421.6065
MEM 198.441406 1667751421.7071
MEM 199.832031 1667751421.8077
MEM 200.347656 1667751421.9084
MEM 201.378906 1667751422.0091
MEM 202.152344 1667751422.1098
MEM 202.925781 1667751422.2105
MEM 203.699219 1667751422.3112
MEM 204.730469 1667751422.4119
MEM 205.761719 1667751422.5125
MEM 207.050781 1667751422.6131
MEM 207.824219 1667751422.7137
MEM 209.371094 1667751422.8143
MEM 211.371094 1667751422.9150
MEM 212.398438 1667751423.0156
MEM 213.933594 1667751423.1162
MEM 214.964844 1667751423.2169
MEM 215.738281 1667751423.3176
MEM 216.769531 1667751423.4183
MEM 217.285156 1667751423.5190
MEM 218.316406 1667751423.6196
MEM 219.089844 1667751423.7203
MEM 219.863281 1667751423.8210
MEM 221.152344 1667751423.9218
MEM 222.183594 1667751424.0224
MEM 223.472656 1667751424.1229
MEM 224.761719 1667751424.2235
MEM 226.308594 1667751424.3241
MEM 227.324219 1667751424.4247
MEM 227.324219 1667751424.5253
MEM 189.796875 1667751424.6259
MEM 190.312500 1667751424.7266
MEM 190.570312 1667751424.8272
MEM 190.570312 1667751424.9278
MEM 190.828125 1667751425.0283
MEM 191.343750 1667751425.1289
MEM 191.601562 1667751425.2294
MEM 191.859375 1667751425.3300
MEM 192.375000 1667751425.4305
MEM 192.632812 1667751425.5312
MEM 192.632812 1667751425.6317
MEM 192.890625 1667751425.7323
MEM 193.570312 1667751425.8329
MEM 193.824219 1667751425.9335
MEM 193.824219 1667751426.0341
MEM 194.339844 1667751426.1346
MEM 194.597656 1667751426.2352
MEM 194.855469 1667751426.3358
MEM 194.855469 1667751426.4365
MEM 195.113281 1667751426.5372
