CMDLINE /usr/bin/python3 lin_data.py
MEM 38.179688 1667751337.1903
MEM 38.695312 1667751337.2908
MEM 39.210938 1667751337.3913
MEM 39.730469 1667751337.4918
MEM 40.246094 1667751337.5923
MEM 40.667969 1667751337.6928
MEM 41.179688 1667751337.7933
MEM 41.695312 1667751337.8938
MEM 42.132812 1667751337.9943
MEM 42.726562 1667751338.0948
MEM 43.242188 1667751338.1953
MEM 43.757812 1667751338.2958
MEM 44.273438 1667751338.3962
MEM 44.531250 1667751338.4967
MEM 45.046875 1667751338.5972
MEM 45.562500 1667751338.6977
MEM 46.078125 1667751338.7982
MEM 46.593750 1667751338.8987
MEM 47.109375 1667751339.0038
MEM 47.625000 1667751339.1044
MEM 48.140625 1667751339.2048
MEM 48.656250 1667751339.3053
MEM 49.171875 1667751339.4058
MEM 49.429688 1667751339.5063
MEM 49.945312 1667751339.6068
MEM 50.460938 1667751339.7073
MEM 50.976562 1667751339.8078
MEM 51.492188 1667751339.9083
MEM 52.007812 1667751340.0087
MEM 52.578125 1667751340.1092
MEM 53.089844 1667751340.2097
MEM 53.347656 1667751340.3101
MEM 53.863281 1667751340.4106
MEM 54.382812 1667751340.5111
MEM 54.894531 1667751340.6116
MEM 55.406250 1667751340.7121
MEM 55.921875 1667751340.8126
MEM 56.437500 1667751340.9130
MEM 56.953125 1667751341.0136
MEM 57.468750 1667751341.1140
MEM 57.984375 1667751341.2145
MEM 58.242188 1667751341.3150
MEM 58.757812 1667751341.4155
MEM 59.222656 1667751341.5160
MEM 59.734375 1667751341.6165
MEM 60.250000 1667751341.7170
MEM 60.765625 1667751341.8175
MEM 61.281250 1667751341.9180
MEM 61.796875 1667751342.0184
MEM 62.312500 1667751342.1189
MEM 62.828125 1667751342.2194
MEM 63.343750 1667751342.3198
MEM 63.601562 1667751342.4204
MEM 64.117188 1667751342.5209
MEM 64.738281 1667751342.6213
MEM 65.253906 1667751342.7219
MEM 65.769531 1667751342.8224
MEM 66.027344 1667751342.9229
MEM 66.542969 1667751343.0233
MEM 67.058594 1667751343.1238
MEM 67.574219 1667751343.2243
MEM 68.089844 1667751343.3248
MEM 68.605469 1667751343.4252
MEM 69.121094 1667751343.5257
MEM 69.636719 1667751343.6262
MEM 70.152344 1667751343.7266
MEM 70.667969 1667751343.8271
MEM 70.925781 1667751343.9276
MEM 71.441406 1667751344.0280
MEM 71.957031 1667751344.1341
MEM 72.472656 1667751344.2346
MEM 72.988281 1667751344.3351
MEM 73.503906 1667751344.4356
MEM 74.019531 1667751344.5361
MEM 74.535156 1667751344.6365
MEM 75.050781 1667751344.7370
MEM 75.566406 1667751344.8375
MEM 76.082031 1667751344.9380
MEM 76.394531 1667751345.0385
MEM 76.906250 1667751345.1390
MEM 77.421875 1667751345.2394
MEM 77.937500 1667751345.3399
MEM 78.453125 1667751345.4404
MEM 78.968750 1667751345.5408
MEM 79.484375 1667751345.6413
MEM 79.742188 1667751345.7418
MEM 80.257812 1667751345.8423
MEM 80.773438 1667751345.9427
MEM 81.289062 1667751346.0432
