CMDLINE /usr/bin/python thread_data.py
MEM 603.296875 1666591299.5025
MEM 605.359375 1666591299.6467
MEM 606.644531 1666591299.7908
MEM 608.191406 1666591299.9349
MEM 608.707031 1666591300.0789
MEM 610.511719 1666591300.2229
MEM 611.027344 1666591300.3667
MEM 611.328125 1666591300.5106
MEM 611.675781 1666591300.6545
MEM 612.187500 1666591300.7983
MEM 612.445312 1666591300.9421
MEM 612.917969 1666591301.0858
MEM 613.433594 1666591301.2295
MEM 613.691406 1666591301.3732
MEM 615.753906 1666591301.5172
MEM 616.011719 1666591301.6612
MEM 618.437500 1666591301.8053
MEM 620.500000 1666591301.9493
MEM 622.820312 1666591302.0935
MEM 624.109375 1666591302.2374
MEM 624.367188 1666591302.3814
MEM 625.914062 1666591302.5254
MEM 626.429688 1666591302.6691
MEM 627.976562 1666591302.8132
MEM 629.781250 1666591302.9570
MEM 630.906250 1666591303.1008
MEM 632.449219 1666591303.2450
MEM 633.222656 1666591303.3888
MEM 633.480469 1666591303.5326
MEM 635.339844 1666591303.6765
MEM 637.660156 1666591303.8261
MEM 638.175781 1666591303.9700
MEM 640.496094 1666591304.1142
MEM 642.816406 1666591304.2584
MEM 644.878906 1666591304.4023
MEM 645.957031 1666591304.5462
MEM 647.242188 1666591304.6901
MEM 647.757812 1666591304.8339
MEM 648.015625 1666591304.9776
MEM 649.562500 1666591305.1216
MEM 651.882812 1666591305.2659
MEM 653.687500 1666591305.4098
MEM 655.492188 1666591305.5538
MEM 657.554688 1666591305.6978
MEM 659.875000 1666591305.8420
MEM 660.699219 1666591305.9859
MEM 662.761719 1666591306.1301
MEM 664.820312 1666591306.2741
MEM 665.593750 1666591306.4179
MEM 666.625000 1666591306.5619
MEM 668.429688 1666591306.7059
MEM 669.203125 1666591306.8499
MEM 671.265625 1666591306.9941
MEM 673.585938 1666591307.1382
MEM 675.390625 1666591307.2822
MEM 677.195312 1666591307.4264
MEM 679.515625 1666591307.5708
MEM 681.109375 1666591307.7146
MEM 681.621094 1666591307.8585
MEM 682.136719 1666591308.0022
MEM 684.199219 1666591308.1464
MEM 686.261719 1666591308.2907
MEM 688.324219 1666591308.4349
MEM 690.644531 1666591308.5790
MEM 692.964844 1666591308.7230
MEM 693.996094 1666591308.8674
MEM 694.253906 1666591309.0202
MEM 586.519531 1666591309.1700
MEM 504.519531 1666591309.3187
MEM 465.378906 1666591309.4626
MEM 465.378906 1666591309.6065
MEM 465.636719 1666591309.7502
MEM 465.636719 1666591309.8941
MEM 465.894531 1666591310.0378
MEM 466.152344 1666591310.1816
MEM 466.152344 1666591310.3254
MEM 466.410156 1666591310.4692
MEM 466.410156 1666591310.6131
MEM 466.667969 1666591310.7570
MEM 466.925781 1666591310.9007
MEM 466.925781 1666591311.0445
MEM 467.183594 1666591311.1934
MEM 467.183594 1666591311.3372
MEM 467.441406 1666591311.4810
MEM 467.699219 1666591311.6246
MEM 467.699219 1666591311.7686
MEM 467.957031 1666591311.9122
MEM 467.957031 1666591312.0561
MEM 468.214844 1666591312.1998
MEM 468.214844 1666591312.3436
MEM 468.472656 1666591312.4873
MEM 468.730469 1666591312.6310
MEM 468.730469 1666591312.7746
MEM 468.988281 1666591312.9184
MEM 468.988281 1666591313.0620
MEM 469.246094 1666591313.2056
MEM 469.503906 1666591313.3493
MEM 469.503906 1666591313.4930
MEM 469.761719 1666591313.6367
MEM 469.761719 1666591313.7803
MEM 470.019531 1666591313.9240
MEM 470.277344 1666591314.0676
MEM 470.277344 1666591314.2113
MEM 470.535156 1666591314.3548
MEM 470.535156 1666591314.4986
MEM 470.792969 1666591314.6425
MEM 471.050781 1666591314.7862
MEM 471.050781 1666591314.9297
MEM 471.308594 1666591315.0734
MEM 471.308594 1666591315.2170
MEM 471.566406 1666591315.3608
MEM 471.824219 1666591315.5044
MEM 471.824219 1666591315.6481
MEM 472.082031 1666591315.7918
MEM 472.082031 1666591315.9355
MEM 472.339844 1666591316.0792
MEM 472.339844 1666591316.2228
MEM 472.597656 1666591316.3664
MEM 472.855469 1666591316.5099
MEM 472.855469 1666591316.6536
MEM 473.113281 1666591316.7973
MEM 473.113281 1666591316.9409
MEM 473.371094 1666591317.0847
MEM 473.613281 1666591317.2284
MEM 473.613281 1666591317.3721
MEM 473.867188 1666591317.5157
MEM 473.867188 1666591317.6595
MEM 474.125000 1666591317.8032
MEM 474.382812 1666591317.9467
MEM 474.382812 1666591318.0904
MEM 474.640625 1666591318.2340
MEM 474.640625 1666591318.3779
MEM 474.898438 1666591318.5269
MEM 475.156250 1666591318.6707
MEM 475.156250 1666591318.8145
MEM 475.414062 1666591318.9581
MEM 475.671875 1666591319.1018
MEM 475.671875 1666591319.2455
MEM 475.929688 1666591319.3891
MEM 475.929688 1666591319.5328
MEM 476.187500 1666591319.6765
MEM 476.312500 1666591319.8202
MEM 476.566406 1666591319.9640
MEM 476.566406 1666591320.1077
MEM 476.824219 1666591320.2513
MEM 476.824219 1666591320.3951
MEM 477.082031 1666591320.5543
MEM 477.339844 1666591320.6996
MEM 477.339844 1666591320.8433
MEM 477.597656 1666591320.9871
MEM 477.597656 1666591321.1363
MEM 477.855469 1666591321.2800
MEM 478.113281 1666591321.4239
MEM 478.113281 1666591321.5677
MEM 478.371094 1666591321.7115
MEM 478.371094 1666591321.8553
MEM 478.628906 1666591321.9991
MEM 478.886719 1666591322.1428
MEM 478.886719 1666591322.2864
MEM 479.144531 1666591322.4300
MEM 479.343750 1666591322.5739
MEM 479.343750 1666591322.7176
MEM 479.597656 1666591322.8613
MEM 479.597656 1666591323.0049
MEM 479.855469 1666591323.1484
MEM 480.113281 1666591323.2923
MEM 480.113281 1666591323.4359
MEM 480.371094 1666591323.5796
MEM 480.371094 1666591323.7234
MEM 480.628906 1666591323.8670
MEM 480.886719 1666591324.0108
MEM 480.886719 1666591324.1545
MEM 481.144531 1666591324.2977
MEM 481.144531 1666591324.4410
MEM 481.402344 1666591324.5841
MEM 481.660156 1666591324.7273
MEM 481.660156 1666591324.8704
MEM 481.917969 1666591325.0136
MEM 481.917969 1666591325.1569
MEM 482.175781 1666591325.2998
MEM 482.433594 1666591325.4430
MEM 482.433594 1666591325.5864
MEM 482.691406 1666591325.7299
MEM 483.054688 1666591325.8830
MEM 483.308594 1666591326.0263
MEM 483.308594 1666591326.1696
MEM 483.566406 1666591326.3128
MEM 483.824219 1666591326.4560
MEM 483.824219 1666591326.5994
MEM 484.082031 1666591326.7427
MEM 484.082031 1666591326.8860
MEM 484.339844 1666591327.0291
MEM 484.339844 1666591327.1724
MEM 484.597656 1666591327.3156
MEM 484.855469 1666591327.4588
MEM 484.855469 1666591327.6021
MEM 485.113281 1666591327.7452
MEM 485.113281 1666591327.8884
MEM 485.371094 1666591328.0316
MEM 485.628906 1666591328.1748
MEM 485.628906 1666591328.3182
MEM 485.886719 1666591328.4616
MEM 485.886719 1666591328.6050
MEM 486.144531 1666591328.7484
MEM 486.402344 1666591328.8918
MEM 486.402344 1666591329.0351
MEM 486.660156 1666591329.1786
MEM 486.894531 1666591329.3219
MEM 486.894531 1666591329.4651
MEM 487.148438 1666591329.6084
MEM 487.148438 1666591329.7519
MEM 487.406250 1666591329.8953
MEM 487.406250 1666591330.0388
MEM 487.664062 1666591330.1821
MEM 487.921875 1666591330.3253
MEM 487.921875 1666591330.4685
MEM 488.179688 1666591330.6118
MEM 488.179688 1666591330.7552
MEM 488.437500 1666591330.8986
MEM 488.695312 1666591331.0419
MEM 488.695312 1666591331.1854
MEM 488.953125 1666591331.3286
MEM 488.953125 1666591331.4719
MEM 489.210938 1666591331.6154
MEM 489.468750 1666591331.7586
MEM 489.468750 1666591331.9019
MEM 489.726562 1666591332.0453
MEM 489.726562 1666591332.1887
MEM 489.984375 1666591332.3320
MEM 490.242188 1666591332.4754
MEM 490.242188 1666591332.6188
MEM 490.242188 1666591332.7672
MEM 433.898438 1666591332.9159
MEM 414.531250 1666591333.0593
MEM 415.105469 1666591333.2076
MEM 415.617188 1666591333.3511
MEM 415.875000 1666591333.4944
MEM 416.527344 1666591333.6378
MEM 417.042969 1666591333.7811
MEM 417.300781 1666591333.9244
MEM 417.816406 1666591334.0679
MEM 418.332031 1666591334.2112
MEM 418.890625 1666591334.3546
MEM 419.406250 1666591334.4980
MEM 419.921875 1666591334.6412
MEM 420.437500 1666591334.7845
MEM 420.695312 1666591334.9278
MEM 421.210938 1666591335.0716
MEM 421.726562 1666591335.2149
MEM 422.242188 1666591335.3585
MEM 422.757812 1666591335.5021
MEM 423.273438 1666591335.6456
MEM 423.683594 1666591335.7893
MEM 424.199219 1666591335.9328
MEM 424.714844 1666591336.0765
MEM 424.972656 1666591336.2201
MEM 425.488281 1666591336.3635
MEM 426.003906 1666591336.5071
MEM 426.519531 1666591336.6507
MEM 427.035156 1666591336.7951
MEM 427.550781 1666591336.9388
MEM 428.066406 1666591337.0823
MEM 428.324219 1666591337.2258
MEM 428.839844 1666591337.3694
MEM 429.355469 1666591337.5129
MEM 429.871094 1666591337.6565
MEM 430.386719 1666591337.8000
MEM 430.902344 1666591337.9436
MEM 431.417969 1666591338.0872
MEM 431.933594 1666591338.2308
MEM 432.191406 1666591338.3744
MEM 432.707031 1666591338.5178
MEM 433.402344 1666591338.6614
MEM 433.660156 1666591338.8050
MEM 434.175781 1666591338.9488
MEM 434.691406 1666591339.0925
