CMDLINE /usr/bin/python lin_data.py
MEM 218.898438 1666591120.5257
MEM 220.187500 1666591120.6708
MEM 221.218750 1666591120.8155
MEM 222.398438 1666591120.9605
MEM 223.687500 1666591121.1054
MEM 224.976562 1666591121.2502
MEM 226.007812 1666591121.3951
MEM 227.296875 1666591121.5399
MEM 228.585938 1666591121.6849
MEM 229.617188 1666591121.8299
MEM 230.906250 1666591121.9748
MEM 232.195312 1666591122.1197
MEM 233.226562 1666591122.2645
MEM 234.515625 1666591122.4094
MEM 235.804688 1666591122.5544
MEM 236.835938 1666591122.6992
MEM 238.125000 1666591122.8443
MEM 239.414062 1666591122.9893
MEM 240.445312 1666591123.1341
MEM 241.734375 1666591123.2791
MEM 243.023438 1666591123.4239
MEM 244.054688 1666591123.5689
MEM 245.343750 1666591123.7141
MEM 246.632812 1666591123.8590
MEM 247.664062 1666591124.0039
MEM 248.953125 1666591124.1487
MEM 250.242188 1666591124.2936
MEM 251.273438 1666591124.4385
MEM 252.562500 1666591124.5834
MEM 253.851562 1666591124.7283
MEM 255.140625 1666591124.8783
MEM 255.914062 1666591125.0286
MEM 217.972656 1666591125.1812
MEM 195.804688 1666591125.3295
MEM 217.718750 1666591125.4850
MEM 218.062500 1666591125.6374
MEM 218.343750 1666591125.7821
MEM 218.343750 1666591125.9267
MEM 218.597656 1666591126.0714
MEM 218.851562 1666591126.2160
MEM 219.109375 1666591126.3607
MEM 219.109375 1666591126.5053
MEM 219.363281 1666591126.6499
MEM 219.621094 1666591126.7945
MEM 219.621094 1666591126.9393
MEM 219.878906 1666591127.0838
MEM 220.144531 1666591127.2285
MEM 220.144531 1666591127.3731
MEM 220.398438 1666591127.5177
MEM 220.656250 1666591127.6624
MEM 220.914062 1666591127.8071
MEM 220.914062 1666591127.9519
MEM 221.171875 1666591128.0965
MEM 221.429688 1666591128.2413
MEM 221.429688 1666591128.3858
MEM 221.687500 1666591128.5304
MEM 221.945312 1666591128.6750
MEM 222.203125 1666591128.8197
MEM 222.246094 1666591128.9643
MEM 222.500000 1666591129.1090
MEM 222.500000 1666591129.2538
MEM 222.757812 1666591129.3983
MEM 223.015625 1666591129.5430
MEM 223.273438 1666591129.6876
MEM 223.273438 1666591129.8324
MEM 223.531250 1666591129.9770
MEM 223.789062 1666591130.1216
MEM 223.789062 1666591130.2662
MEM 224.046875 1666591130.4109
MEM 224.304688 1666591130.5555
MEM 224.562500 1666591130.7001
MEM 224.562500 1666591130.8449
MEM 224.820312 1666591130.9898
MEM 225.078125 1666591131.1344
MEM 225.078125 1666591131.2791
MEM 225.335938 1666591131.4237
MEM 225.593750 1666591131.5684
MEM 225.593750 1666591131.7131
MEM 225.851562 1666591131.8578
MEM 226.109375 1666591132.0025
MEM 226.367188 1666591132.1472
MEM 226.507812 1666591132.2939
MEM 226.507812 1666591132.4385
MEM 226.761719 1666591132.5833
MEM 227.019531 1666591132.7281
MEM 227.277344 1666591132.8727
MEM 227.277344 1666591133.0174
MEM 227.535156 1666591133.1621
MEM 227.792969 1666591133.3067
MEM 227.792969 1666591133.4515
MEM 228.050781 1666591133.5961
MEM 228.308594 1666591133.7409
MEM 228.566406 1666591133.8855
MEM 228.566406 1666591134.0302
MEM 228.824219 1666591134.1749
MEM 229.082031 1666591134.3196
MEM 229.082031 1666591134.4642
MEM 229.339844 1666591134.6089
MEM 229.597656 1666591134.7536
MEM 229.597656 1666591134.8983
MEM 229.855469 1666591135.0430
MEM 230.113281 1666591135.1877
MEM 230.371094 1666591135.3324
MEM 230.371094 1666591135.4770
MEM 230.628906 1666591135.6218
MEM 230.886719 1666591135.7664
MEM 230.886719 1666591135.9111
MEM 231.144531 1666591136.0559
MEM 231.402344 1666591136.2007
MEM 231.660156 1666591136.3453
MEM 231.660156 1666591136.4900
MEM 231.917969 1666591136.6347
MEM 232.175781 1666591136.7794
MEM 232.175781 1666591136.9240
MEM 232.433594 1666591137.0687
MEM 232.691406 1666591137.2134
MEM 232.691406 1666591137.3581
MEM 232.949219 1666591137.5027
MEM 233.207031 1666591137.6474
MEM 233.464844 1666591137.7921
MEM 233.464844 1666591137.9367
MEM 233.722656 1666591138.0815
MEM 233.980469 1666591138.2261
MEM 233.980469 1666591138.3708
MEM 234.238281 1666591138.5155
MEM 234.496094 1666591138.6602
MEM 234.496094 1666591138.8049
MEM 234.753906 1666591138.9497
MEM 235.011719 1666591139.0944
MEM 235.144531 1666591139.2391
MEM 235.398438 1666591139.3839
MEM 235.398438 1666591139.5287
MEM 235.656250 1666591139.6751
MEM 235.914062 1666591139.8199
MEM 236.171875 1666591139.9647
MEM 236.171875 1666591140.1093
MEM 236.429688 1666591140.2540
MEM 236.687500 1666591140.3987
MEM 236.687500 1666591140.5434
MEM 236.945312 1666591140.6881
MEM 237.203125 1666591140.8328
MEM 237.203125 1666591140.9787
MEM 237.460938 1666591141.1248
MEM 237.718750 1666591141.2696
MEM 237.976562 1666591141.4143
MEM 237.976562 1666591141.5590
MEM 238.234375 1666591141.7037
MEM 238.492188 1666591141.8484
MEM 238.492188 1666591141.9931
MEM 238.750000 1666591142.1378
MEM 239.007812 1666591142.2824
MEM 239.265625 1666591142.4273
MEM 239.265625 1666591142.5719
MEM 239.523438 1666591142.7165
MEM 239.781250 1666591142.8612
MEM 239.781250 1666591143.0057
MEM 240.039062 1666591143.1503
MEM 240.296875 1666591143.2949
MEM 240.296875 1666591143.4396
MEM 240.554688 1666591143.5843
MEM 240.812500 1666591143.7290
MEM 241.070312 1666591143.8737
MEM 241.070312 1666591144.0183
MEM 241.328125 1666591144.1631
MEM 241.585938 1666591144.3078
MEM 241.585938 1666591144.4525
MEM 241.843750 1666591144.5972
MEM 242.101562 1666591144.7420
MEM 242.101562 1666591144.8865
MEM 242.359375 1666591145.0312
MEM 242.617188 1666591145.1758
MEM 242.875000 1666591145.3205
MEM 242.875000 1666591145.4651
MEM 243.132812 1666591145.6097
MEM 243.390625 1666591145.7544
MEM 243.390625 1666591145.8991
MEM 243.648438 1666591146.0437
MEM 243.906250 1666591146.1884
MEM 244.164062 1666591146.3330
MEM 244.164062 1666591146.4778
MEM 244.421875 1666591146.6223
MEM 244.679688 1666591146.7671
MEM 244.679688 1666591146.9118
MEM 244.937500 1666591147.0580
MEM 245.195312 1666591147.2028
MEM 245.195312 1666591147.3475
MEM 245.453125 1666591147.4922
MEM 245.710938 1666591147.6368
MEM 245.710938 1666591147.7815
MEM 245.968750 1666591147.9262
MEM 246.226562 1666591148.0710
MEM 246.484375 1666591148.2156
MEM 246.484375 1666591148.3603
MEM 246.742188 1666591148.5070
MEM 247.000000 1666591148.6532
MEM 247.000000 1666591148.7979
MEM 247.257812 1666591148.9425
MEM 247.515625 1666591149.0885
MEM 247.515625 1666591149.2346
MEM 247.773438 1666591149.3796
MEM 248.031250 1666591149.5246
MEM 248.289062 1666591149.6694
MEM 248.289062 1666591149.8141
MEM 248.546875 1666591149.9588
MEM 248.804688 1666591150.1034
MEM 248.804688 1666591150.2481
MEM 249.062500 1666591150.3929
MEM 249.320312 1666591150.5375
MEM 249.320312 1666591150.6822
MEM 249.578125 1666591150.8268
MEM 249.835938 1666591150.9716
MEM 250.093750 1666591151.1163
MEM 250.093750 1666591151.2610
MEM 250.351562 1666591151.4057
MEM 250.609375 1666591151.5502
MEM 250.609375 1666591151.6949
MEM 250.867188 1666591151.8396
MEM 251.125000 1666591151.9844
MEM 251.125000 1666591152.1291
MEM 251.382812 1666591152.2737
MEM 251.640625 1666591152.4183
MEM 252.156250 1666591152.5630
MEM 252.671875 1666591152.7077
MEM 253.187500 1666591152.8523
MEM 253.703125 1666591152.9970
MEM 254.218750 1666591153.1419
MEM 254.570312 1666591153.2866
MEM 255.085938 1666591153.4313
MEM 255.601562 1666591153.5759
MEM 256.117188 1666591153.7206
MEM 256.632812 1666591153.8653
MEM 257.148438 1666591154.0100
MEM 257.406250 1666591154.1548
MEM 257.921875 1666591154.2995
MEM 258.437500 1666591154.4457
MEM 258.953125 1666591154.5904
MEM 259.468750 1666591154.7350
MEM 259.984375 1666591154.8798
MEM 260.500000 1666591155.0244
MEM 261.015625 1666591155.1692
MEM 261.531250 1666591155.3138
MEM 261.789062 1666591155.4585
MEM 262.304688 1666591155.6032
MEM 262.820312 1666591155.7479
MEM 263.335938 1666591155.8927
MEM 263.851562 1666591156.0417
MEM 225.832031 1666591156.1957
MEM 172.078125 1666591156.3452
MEM 123.335938 1666591156.4956
