CMDLINE /usr/bin/python multi_data.py
MEM 653.128906 1666591495.6878
CHLD 0 201.738281 1666591495.7109
CHLD 1 266.328125 1666591495.7110
CHLD 2 177.640625 1666591495.7111
MEM 657.453125 1666591495.8349
CHLD 0 203.027344 1666591495.8580
CHLD 1 269.105469 1666591495.8581
CHLD 2 178.156250 1666591495.8581
MEM 662.093750 1666591495.9821
CHLD 0 204.058594 1666591496.0052
CHLD 1 271.941406 1666591496.0053
CHLD 2 178.671875 1666591496.0054
MEM 666.734375 1666591496.1292
CHLD 0 205.347656 1666591496.1525
CHLD 1 274.777344 1666591496.1526
CHLD 2 179.187500 1666591496.1527
MEM 671.117188 1666591496.2764
CHLD 0 206.378906 1666591496.2995
CHLD 1 277.613281 1666591496.2996
CHLD 2 179.703125 1666591496.2997
MEM 675.757812 1666591496.4236
CHLD 0 207.410156 1666591496.4466
CHLD 1 280.707031 1666591496.4467
CHLD 2 179.960938 1666591496.4468
MEM 680.140625 1666591496.5707
CHLD 0 208.699219 1666591496.5938
CHLD 1 283.542969 1666591496.5939
CHLD 2 180.476562 1666591496.5939
MEM 684.781250 1666591496.7178
CHLD 0 209.730469 1666591496.7409
CHLD 1 286.378906 1666591496.7410
CHLD 2 180.992188 1666591496.7411
MEM 689.164062 1666591496.8649
CHLD 0 211.019531 1666591496.8880
CHLD 1 289.214844 1666591496.8881
CHLD 2 181.507812 1666591496.8882
MEM 694.320312 1666591497.0316
CHLD 0 212.308594 1666591497.0548
CHLD 1 292.566406 1666591497.0548
CHLD 2 182.281250 1666591497.0549
MEM 698.703125 1666591497.1788
CHLD 0 213.339844 1666591497.2019
CHLD 1 295.402344 1666591497.2020
CHLD 2 182.796875 1666591497.2021
MEM 703.343750 1666591497.3260
CHLD 0 214.628906 1666591497.3490
CHLD 1 298.238281 1666591497.3491
CHLD 2 183.312500 1666591497.3491
MEM 707.726562 1666591497.4730
CHLD 0 215.660156 1666591497.4960
CHLD 1 301.074219 1666591497.4961
CHLD 2 183.828125 1666591497.4962
MEM 712.382812 1666591497.6201
CHLD 0 216.691406 1666591497.6434
CHLD 1 303.910156 1666591497.6435
CHLD 2 184.101562 1666591497.6435
MEM 716.761719 1666591497.7674
CHLD 0 217.980469 1666591497.7907
CHLD 1 306.746094 1666591497.7908
CHLD 2 184.613281 1666591497.7908
MEM 721.296875 1666591497.9148
CHLD 0 219.160156 1666591497.9379
CHLD 1 309.582031 1666591497.9380
CHLD 2 185.128906 1666591497.9381
MEM 725.675781 1666591498.0621
CHLD 0 220.191406 1666591498.0852
CHLD 1 312.417969 1666591498.0853
CHLD 2 185.644531 1666591498.0854
MEM 730.433594 1666591498.2093
CHLD 0 221.222656 1666591498.2325
CHLD 1 315.371094 1666591498.2326
CHLD 2 186.160156 1666591498.2327
MEM 734.816406 1666591498.3565
CHLD 0 222.511719 1666591498.3797
CHLD 1 318.207031 1666591498.3798
CHLD 2 186.675781 1666591498.3798
MEM 739.457031 1666591498.5038
CHLD 0 223.542969 1666591498.5271
CHLD 1 321.042969 1666591498.5272
CHLD 2 187.191406 1666591498.5273
MEM 743.839844 1666591498.6513
CHLD 0 224.832031 1666591498.6744
CHLD 1 323.878906 1666591498.6745
CHLD 2 187.707031 1666591498.6745
MEM 748.222656 1666591498.7984
CHLD 0 225.863281 1666591498.8217
CHLD 1 326.714844 1666591498.8218
CHLD 2 188.222656 1666591498.8219
MEM 753.121094 1666591498.9458
CHLD 0 227.152344 1666591498.9689
CHLD 1 329.550781 1666591498.9690
CHLD 2 188.738281 1666591498.9691
MEM 757.503906 1666591499.0931
CHLD 0 228.183594 1666591499.1163
CHLD 1 332.386719 1666591499.1164
CHLD 2 189.253906 1666591499.1165
MEM 762.128906 1666591499.2405
CHLD 0 229.472656 1666591499.2637
CHLD 1 335.464844 1666591499.2638
CHLD 2 189.769531 1666591499.2638
MEM 766.511719 1666591499.3877
CHLD 0 230.503906 1666591499.4110
CHLD 1 338.042969 1666591499.4111
CHLD 2 190.285156 1666591499.4112
MEM 771.152344 1666591499.5351
CHLD 0 231.535156 1666591499.5582
CHLD 1 340.878906 1666591499.5583
CHLD 2 190.800781 1666591499.5584
MEM 775.535156 1666591499.6824
CHLD 0 232.824219 1666591499.7056
CHLD 1 343.972656 1666591499.7057
CHLD 2 191.316406 1666591499.7058
MEM 780.175781 1666591499.8297
CHLD 0 233.855469 1666591499.8530
CHLD 1 346.808594 1666591499.8531
CHLD 2 191.832031 1666591499.8532
MEM 784.558594 1666591499.9771
CHLD 0 235.144531 1666591500.0015
CHLD 1 349.644531 1666591500.0016
CHLD 2 192.347656 1666591500.0017
MEM 787.910156 1666591500.1674
CHLD 0 236.433594 1666591500.1934
CHLD 1 350.675781 1666591500.1935
CHLD 2 192.863281 1666591500.1936
MEM 709.839844 1666591500.3212
CHLD 0 237.722656 1666591500.3476
CHLD 1 256.550781 1666591500.3477
CHLD 2 193.378906 1666591500.3478
MEM 629.394531 1666591500.4753
CHLD 0 239.011719 1666591500.5017
CHLD 1 174.550781 1666591500.5018
CHLD 2 194.152344 1666591500.5019
MEM 442.390625 1666591500.6252
CHLD 0 240.042969 1666591500.6479
CHLD 1 194.410156 1666591500.6479
MEM 444.195312 1666591500.7712
CHLD 0 241.074219 1666591500.7937
CHLD 1 194.925781 1666591500.7938
MEM 445.742188 1666591500.9170
CHLD 0 242.363281 1666591500.9396
CHLD 1 195.441406 1666591500.9397
MEM 447.546875 1666591501.0630
CHLD 0 243.394531 1666591501.0858
CHLD 1 195.957031 1666591501.0859
MEM 449.093750 1666591501.2091
CHLD 0 244.683594 1666591501.2318
CHLD 1 196.472656 1666591501.2319
MEM 450.640625 1666591501.3553
CHLD 0 245.714844 1666591501.3779
CHLD 1 196.988281 1666591501.3780
MEM 452.445312 1666591501.5012
CHLD 0 246.746094 1666591501.5237
CHLD 1 197.503906 1666591501.5238
MEM 453.992188 1666591501.6469
CHLD 0 248.035156 1666591501.6694
CHLD 1 198.019531 1666591501.6694
MEM 455.539062 1666591501.7927
CHLD 0 249.066406 1666591501.8152
CHLD 1 198.535156 1666591501.8153
MEM 457.343750 1666591501.9385
CHLD 0 250.355469 1666591501.9777
CHLD 1 199.050781 1666591501.9778
MEM 459.148438 1666591502.1009
CHLD 0 251.386719 1666591502.1236
CHLD 1 199.566406 1666591502.1237
MEM 460.695312 1666591502.2469
CHLD 0 252.675781 1666591502.2694
CHLD 1 200.082031 1666591502.2695
MEM 461.984375 1666591502.3987
CHLD 0 253.191406 1666591502.4272
CHLD 1 200.597656 1666591502.4273
MEM 424.554688 1666591502.5526
CHLD 0 215.246094 1666591502.5772
CHLD 1 201.113281 1666591502.5773
MEM 8.195312 1666591502.7024
CHLD 0 201.628906 1666591502.7246
MEM 210.339844 1666591502.8472
CHLD 0 202.144531 1666591502.8693
MEM 210.855469 1666591502.9919
CHLD 0 202.660156 1666591503.0138
MEM 211.371094 1666591503.1365
CHLD 0 203.175781 1666591503.1584
MEM 211.886719 1666591503.2811
CHLD 0 203.691406 1666591503.3032
MEM 212.402344 1666591503.4258
CHLD 0 204.207031 1666591503.4478
MEM 212.917969 1666591503.5704
CHLD 0 204.722656 1666591503.5924
MEM 213.433594 1666591503.7150
CHLD 0 205.238281 1666591503.7371
MEM 213.691406 1666591503.8597
CHLD 0 205.753906 1666591503.8817
MEM 214.207031 1666591504.0043
CHLD 0 206.269531 1666591504.0264
MEM 214.722656 1666591504.1490
CHLD 0 206.785156 1666591504.1710
MEM 215.238281 1666591504.2937
CHLD 0 207.300781 1666591504.3158
MEM 215.753906 1666591504.4384
CHLD 0 207.816406 1666591504.4605
MEM 216.269531 1666591504.6025
CHLD 0 208.332031 1666591504.6247
MEM 216.785156 1666591504.7472
CHLD 0 208.847656 1666591504.7693
MEM 217.300781 1666591504.8919
CHLD 0 209.363281 1666591504.9140
MEM 217.816406 1666591505.0364
CHLD 0 209.878906 1666591505.0585
MEM 218.453125 1666591505.1813
CHLD 0 210.257812 1666591505.2039
MEM 218.964844 1666591505.3265
CHLD 0 210.769531 1666591505.3486
MEM 219.480469 1666591505.4712
CHLD 0 211.285156 1666591505.4933
MEM 219.996094 1666591505.6158
CHLD 0 211.800781 1666591505.6378
MEM 220.511719 1666591505.7604
CHLD 0 212.316406 1666591505.7825
MEM 221.027344 1666591505.9050
CHLD 0 212.832031 1666591505.9271
MEM 221.285156 1666591506.0497
CHLD 0 213.347656 1666591506.0720
MEM 221.800781 1666591506.1948
CHLD 0 213.863281 1666591506.2170
MEM 222.316406 1666591506.3395
CHLD 0 214.378906 1666591506.3616
MEM 222.832031 1666591506.4842
CHLD 0 214.894531 1666591506.5062
MEM 223.347656 1666591506.6295
CHLD 0 215.410156 1666591506.6516
MEM 223.863281 1666591506.7740
