CMDLINE 'C:\Users\Michael Emory\.conda\envs\OperatingSystems\python.exe' multi_data.py
MEM 2.328125 1667672068.8878
MEM 45.492188 1667672068.9958
MEM 92.117188 1667672069.1038
MEM 137.054688 1667672069.2123
MEM 179.988281 1667672069.3208
MEM 223.226562 1667672069.4308
MEM 265.066406 1667672069.5373
MEM 308.468750 1667672069.6473
MEM 352.203125 1667672069.7543
MEM 395.769531 1667672069.8648
MEM 436.992188 1667672069.9718
MEM 476.929688 1667672070.0803
MEM 265.832031 1667672070.1883
MEM 285.621094 1667672070.2983
MEM 305.015625 1667672070.4053
MEM 324.578125 1667672070.5138
MEM 345.746094 1667672070.6223
MEM 365.066406 1667672070.7308
MEM 386.160156 1667672070.8393
MEM 147.417969 1667672070.9478
MEM 153.437500 1667672071.0563
MEM 159.875000 1667672071.1648
MEM 165.816406 1667672071.2743
MEM 172.253906 1667672071.3818
MEM 178.621094 1667672071.4903
MEM 184.609375 1667672071.5988
MEM 191.046875 1667672071.7073
MEM 196.812500 1667672071.8158
MEM 203.117188 1667672071.9243
MEM 209.554688 1667672072.0333
MEM 239.660156 1667672072.1433
MEM 221.667969 1667672072.2508
MEM 227.792969 1667672072.3588
MEM 233.980469 1667672072.4668
MEM 239.589844 1667672072.5758
MEM 245.839844 1667672072.6843
MEM 252.152344 1667672072.7923
MEM 258.589844 1667672072.9008
MEM 264.195312 1667672073.0098
MEM 270.570312 1667672073.1183
MEM 276.882812 1667672073.2268
MEM 283.257812 1667672073.3348
MEM 288.648438 1667672073.4443
