CMDLINE 'C:\Users\Michael Emory\.conda\envs\OperatingSystems\python.exe' lin_data.py
MEM 2.089844 1667668773.9270
MEM 23.828125 1667668774.0340
MEM 45.671875 1667668774.1425
MEM 68.476562 1667668774.2510
MEM 92.601562 1667668774.3595
MEM 144.414062 1667668774.4680
MEM 139.335938 1667668774.5765
MEM 161.750000 1667668774.6850
MEM 185.222656 1667668774.7935
MEM 208.855469 1667668774.9020
MEM 232.367188 1667668775.0105
MEM 25.199219 1667668775.1190
MEM 39.386719 1667668775.2275
MEM 53.628906 1667668775.3360
MEM 67.132812 1667668775.4445
MEM 81.179688 1667668775.5530
MEM 94.878906 1667668775.6615
MEM 132.808594 1667668775.7700
MEM 122.578125 1667668775.8790
MEM 135.871094 1667668775.9870
MEM 149.402344 1667668776.0955
MEM 162.878906 1667668776.2040
MEM 177.941406 1667668776.3125
MEM 191.156250 1667668776.4210
MEM 204.550781 1667668776.5295
MEM 219.488281 1667668776.6380
MEM 232.121094 1667668776.7465
MEM 301.609375 1667668776.8550
MEM 23.808594 1667668776.9635
MEM 29.332031 1667668777.0720
MEM 35.679688 1667668777.1805
MEM 41.898438 1667668777.2890
MEM 48.167969 1667668777.3975
MEM 53.773438 1667668777.5060
MEM 59.910156 1667668777.6145
MEM 66.039062 1667668777.7230
MEM 71.703125 1667668777.8315
MEM 77.875000 1667668777.9400
MEM 84.191406 1667668778.0490
MEM 90.140625 1667668778.1570
MEM 95.765625 1667668778.2655
MEM 101.046875 1667668778.3740
MEM 106.687500 1667668778.4835
MEM 113.000000 1667668778.5915
MEM 118.804688 1667668778.6995
MEM 125.117188 1667668778.8081
MEM 130.812500 1667668778.9165
MEM 137.210938 1667668779.0250
MEM 142.562500 1667668779.1335
MEM 148.500000 1667668779.2420
MEM 154.750000 1667668779.3505
MEM 160.632812 1667668779.4595
MEM 167.132812 1667668779.5675
MEM 173.632812 1667668779.6760
MEM 179.589844 1667668779.7845
MEM 185.964844 1667668779.8930
MEM 192.589844 1667668780.0015
MEM 198.546875 1667668780.1100
MEM 204.859375 1667668780.2185
MEM 211.296875 1667668780.3270
MEM 217.039062 1667668780.4355
MEM 223.476562 1667668780.5440
MEM 229.914062 1667668780.6525
MEM 236.277344 1667668780.7610
MEM 242.015625 1667668780.8710
MEM 248.328125 1667668780.9780
MEM 254.855469 1667668781.0865
MEM 261.015625 1667668781.1950
MEM 276.917969 1667668781.3040
