CMDLINE 'C:\Users\Michael Emory\.conda\envs\OperatingSystems\python.exe' thread_data.py
MEM 2.066406 1667668840.3597
MEM 24.812500 1667668840.4682
MEM 40.128906 1667668840.5766
MEM 55.652344 1667668840.6851
MEM 71.335938 1667668840.7936
MEM 94.335938 1667668840.9021
MEM 101.304688 1667668841.0107
MEM 115.894531 1667668841.1191
MEM 128.210938 1667668841.2276
MEM 143.046875 1667668841.3362
MEM 158.187500 1667668841.4446
MEM 175.410156 1667668841.5532
MEM 190.382812 1667668841.6622
MEM 222.609375 1667668841.7701
MEM 223.097656 1667668841.8786
MEM 238.796875 1667668841.9872
MEM 257.761719 1667668842.0956
MEM 276.140625 1667668842.2042
MEM 289.660156 1667668842.3127
MEM 333.433594 1667668842.4212
MEM 322.679688 1667668842.5297
MEM 335.414062 1667668842.6381
MEM 349.925781 1667668842.7467
MEM 364.269531 1667668842.8552
MEM 378.863281 1667668842.9637
MEM 414.820312 1667668843.0721
MEM 241.632812 1667668843.1806
MEM 245.144531 1667668843.2891
MEM 248.355469 1667668843.3977
MEM 251.691406 1667668843.5061
MEM 254.871094 1667668843.6147
MEM 264.238281 1667668843.7231
MEM 261.683594 1667668843.8316
MEM 265.371094 1667668843.9402
MEM 267.925781 1667668844.0487
MEM 277.597656 1667668844.1571
MEM 287.363281 1667668844.2656
MEM 363.375000 1667668844.3742
MEM 306.726562 1667668844.4826
MEM 317.800781 1667668844.5911
MEM 326.992188 1667668844.6996
MEM 336.339844 1667668844.8081
MEM 204.976562 1667668844.9167
MEM 206.859375 1667668845.0252
MEM 208.859375 1667668845.1336
MEM 210.730469 1667668845.2421
MEM 212.667969 1667668845.3507
MEM 214.871094 1667668845.4591
MEM 216.808594 1667668845.5676
MEM 218.738281 1667668845.6761
MEM 220.585938 1667668845.7846
MEM 222.523438 1667668845.8932
MEM 224.351562 1667668846.0017
MEM 226.351562 1667668846.1102
MEM 228.351562 1667668846.2187
MEM 230.117188 1667668846.3271
MEM 232.117188 1667668846.4357
MEM 234.117188 1667668846.5441
MEM 236.117188 1667668846.6526
MEM 237.878906 1667668846.7612
MEM 239.816406 1667668846.8702
MEM 241.753906 1667668846.9782
MEM 243.628906 1667668847.0866
MEM 245.339844 1667668847.1952
MEM 249.777344 1667668847.3037
MEM 256.089844 1667668847.4122
MEM 262.277344 1667668847.5206
MEM 267.738281 1667668847.6291
